
Ramp Rate(°C/min),T1(°C),T2(°C),T1(°C),T2(°C),T1(°C),T2(°C)
20,51.98,43.72,51.98,43.72,51.98,43.72
19,51.74,44.46,,,53.02,44.81
18,66.6,31.44,,,52.07,44.92
17,53.65,46.83,,,,
16,54.04,47.25,46.42,37.71,,
15,51.94,44.5,52.15,44.49,51.79,44.36
14,51.82,45.56,51.94,44.94,,
13,51.95,44.3,67.84,26.48,51.85,45.02
12,,,,,51.28,44.96
11,51.63,47.44,51.38,45.72,,
10,,,50.69,45.92,,
9,,,53.36,46.92,,
8,,,#REF!,51.62,46.57,51.08
7,51.09,46.41,46.29,#REF!,45.34,#REF!
6,52.65,48.24,50.91,45.59,,
5,50.18,47.15,,,46.25,50.53
4,50.14,46.39,50.14,46.39,50.14,46.39
3,50.18,46.88,50.18,46.88,50.18,46.88
2,49.67,46.64,49.67,46.64,49.67,46.64
